Date,Total_CompletedTests
1/1/2021,70570
1/1/2022,69768
1/1/2023,5819
1/10/2021,62308
1/10/2022,40692
1/10/2023,5915
1/11/2021,46403
1/11/2022,45451
1/11/2023,7987
1/12/2021,44802
1/12/2022,56420
1/12/2023,7297
1/13/2021,50931
1/13/2022,58831
1/13/2023,7442
1/14/2021,71169
1/14/2022,58031
1/14/2023,6661
1/15/2021,76472
1/15/2022,56318
1/15/2023,5032
1/16/2021,73875
1/16/2022,52676
1/16/2023,4286
1/17/2021,60183
1/17/2022,37059
1/17/2023,5362
1/18/2021,40301
1/18/2022,31355
1/18/2023,7641
1/19/2021,34531
1/19/2022,34579
1/19/2023,6751
1/2/2021,61401
1/2/2022,62002
1/2/2023,4209
1/20/2021,54307
1/20/2022,42907
1/20/2023,7467
1/21/2021,70256
1/21/2022,41538
1/21/2023,5825
1/22/2021,71750
1/22/2022,36396
1/22/2023,5320
1/23/2021,63453
1/23/2022,32247
1/23/2023,4118
1/24/2021,48947
1/24/2022,20716
1/24/2023,5342
1/25/2021,35968
1/25/2022,20081
1/25/2023,6938
1/26/2021,30717
1/26/2022,33687
1/26/2023,6983
1/27/2021,55191
1/27/2022,33560
1/27/2023,6075
1/28/2021,64664
1/28/2022,32672
1/28/2023,6400
1/29/2021,69040
1/29/2022,29241
1/29/2023,5128
1/3/2021,49803
1/3/2022,54346
1/3/2023,4797
1/30/2021,59594
1/30/2022,23638
1/30/2023,3774
1/31/2021,49352
1/31/2022,15008
1/31/2023,5749
1/4/2021,39121
1/4/2022,49737
1/4/2023,7267
1/5/2021,35152
1/5/2022,59137
1/5/2023,8700
1/6/2021,51045
1/6/2022,59241
1/6/2023,8988
1/7/2021,65772
1/7/2022,61137
1/7/2023,7743
1/8/2021,71481
1/8/2022,55700
1/8/2023,6333
1/9/2021,72900
1/9/2022,49442
1/9/2023,4850
10/1/2020,39646
10/1/2021,35927
10/1/2022,9345
10/10/2020,44298
10/10/2021,29755
10/10/2022,5765
10/11/2020,44138
10/11/2021,20785
10/11/2022,5789
10/12/2020,36473
10/12/2021,18280
10/12/2022,7335
10/13/2020,31233
10/13/2021,23219
10/13/2022,12468
10/14/2020,32206
10/14/2021,35421
10/14/2022,10652
10/15/2020,39961
10/15/2021,35905
10/16/2020,38507
10/16/2021,32626
10/17/2020,44722
10/17/2021,27395
10/18/2020,40850
10/18/2021,20432
10/18/2022,7507
10/19/2020,31864
10/19/2021,20792
10/19/2022,12048
10/2/2020,40093
10/2/2021,29510
10/2/2022,7422
10/20/2020,24049
10/20/2021,31569
10/20/2022,10986
10/21/2020,32646
10/21/2021,31889
10/21/2022,10301
10/22/2020,38860
10/22/2021,28906
10/22/2022,9267
10/23/2020,40019
10/23/2021,27302
10/23/2022,7424
10/24/2020,44151
10/24/2021,25328
10/24/2022,5243
10/25/2020,38769
10/25/2021,18397
10/25/2022,7813
10/26/2020,28652
10/26/2021,21827
10/26/2022,11398
10/27/2020,23945
10/27/2021,30776
10/27/2022,10192
10/28/2020,30010
10/28/2021,31383
10/28/2022,9477
10/29/2020,35621
10/29/2021,29592
10/29/2022,9136
10/3/2020,46254
10/3/2021,32220
10/3/2022,5297
10/30/2020,41008
10/30/2021,26767
10/30/2022,6317
10/31/2020,41920
10/31/2021,25707
10/31/2022,5260
10/4/2020,39661
10/4/2021,23667
10/4/2022,7304
10/5/2020,38196
10/5/2021,25441
10/5/2022,11414
10/6/2020,42031
10/6/2021,39460
10/6/2022,11655
10/7/2020,43277
10/7/2021,37057
10/7/2022,10897
10/8/2020,48488
10/8/2021,37118
10/8/2022,10904
10/9/2020,44914
10/9/2021,31123
10/9/2022,8646
11/1/2020,37133
11/1/2021,19840
11/1/2022,7301
11/10/2020,29125
11/10/2021,33364
11/10/2022,8628
11/11/2020,36707
11/11/2021,29814
11/11/2022,8635
11/12/2020,39559
11/12/2021,30230
11/12/2022,8534
11/13/2020,40509
11/13/2021,26456
11/13/2022,5973
11/14/2020,44837
11/14/2021,24853
11/14/2022,5575
11/15/2020,42206
11/15/2021,21475
11/15/2022,5969
11/16/2020,33351
11/16/2021,18965
11/16/2022,8972
11/17/2020,26468
11/17/2021,28931
11/17/2022,9016
11/18/2020,33440
11/18/2021,34347
11/18/2022,8347
11/19/2020,41838
11/19/2021,30515
11/19/2022,7338
11/2/2020,27908
11/2/2021,20148
11/2/2022,11854
11/20/2020,48173
11/20/2021,30138
11/20/2022,6093
11/21/2020,46671
11/21/2021,29799
11/21/2022,4471
11/22/2020,46389
11/22/2021,19552
11/22/2022,5557
11/23/2020,37471
11/23/2021,19859
11/23/2022,9640
11/24/2020,27053
11/24/2021,30092
11/24/2022,8284
11/25/2020,36076
11/25/2021,33932
11/25/2022,8039
11/26/2020,47576
11/26/2021,33901
11/26/2022,6785
11/27/2020,58037
11/27/2021,31444
11/27/2022,5968
11/28/2020,55086
11/28/2021,29692
11/28/2022,5150
11/29/2020,53959
11/29/2021,26016
11/29/2022,5784
11/3/2020,25279
11/3/2021,32950
11/3/2022,9768
11/30/2020,39406
11/30/2021,21476
11/30/2022,9237
11/4/2020,28567
11/4/2021,32129
11/4/2022,9145
11/5/2020,35754
11/5/2021,30187
11/5/2022,9034
11/6/2020,41268
11/6/2021,30145
11/6/2022,6845
11/7/2020,39165
11/7/2021,27146
11/7/2022,5373
11/8/2020,37577
11/8/2021,22980
11/8/2022,6930
11/9/2020,28401
11/9/2021,19368
11/9/2022,9627
12/1/2020,34640
12/1/2021,35364
12/1/2022,8538
12/10/2020,61809
12/10/2021,39941
12/10/2022,7470
12/11/2020,63051
12/11/2021,42205
12/11/2022,5914
12/12/2020,65260
12/12/2021,38477
12/12/2022,4717
12/13/2020,58190
12/13/2021,38331
12/13/2022,6027
12/14/2020,57091
12/14/2021,33400
12/14/2022,8695
12/15/2020,39566
12/15/2021,44726
12/15/2022,9246
12/16/2020,49189
12/16/2021,54724
12/16/2022,8501
12/17/2020,58178
12/17/2021,51636
12/17/2022,7248
12/18/2020,68246
12/18/2021,54407
12/18/2022,6093
12/19/2020,67207
12/19/2021,51151
12/19/2022,5264
12/2/2020,44226
12/2/2021,38480
12/2/2022,7908
12/20/2020,69412
12/20/2021,44123
12/20/2022,6199
12/21/2020,54505
12/21/2021,49285
12/21/2022,8963
12/22/2020,45265
12/22/2021,55381
12/22/2022,8028
12/23/2020,56660
12/23/2021,68191
12/23/2022,6730
12/24/2020,64592
12/24/2021,72639
12/24/2022,4228
12/25/2020,61465
12/25/2021,66489
12/25/2022,3447
12/26/2020,49511
12/26/2021,56695
12/26/2022,3866
12/27/2020,41783
12/27/2021,48479
12/27/2022,5309
12/28/2020,39565
12/28/2021,53311
12/28/2022,5309
12/29/2020,34112
12/29/2021,59259
12/29/2022,6868
12/3/2020,52873
12/3/2021,39748
12/3/2022,6663
12/30/2020,39210
12/30/2021,67301
12/30/2022,8436
12/31/2020,63858
12/31/2021,75093
12/31/2022,9104
12/4/2020,56001
12/4/2021,36268
12/4/2022,6205
12/5/2020,59399
12/5/2021,31735
12/5/2022,4450
12/6/2020,59251
12/6/2021,25981
12/6/2022,6576
12/7/2020,45283
12/7/2021,26136
12/7/2022,8874
12/8/2020,39198
12/8/2021,38502
12/8/2022,8068
12/9/2020,48546
12/9/2021,40242
12/9/2022,7459
2/1/2021,30359
2/1/2022,16380
2/1/2023,7621
2/10/2020,
2/10/2021,52504
2/10/2022,22417
2/10/2023,6657
2/11/2020,
2/11/2021,68812
2/11/2022,20936
2/11/2023,5792
2/12/2020,
2/12/2021,62012
2/12/2022,18985
2/12/2023,4489
2/13/2020,
2/13/2021,58760
2/13/2022,13998
2/13/2023,3810
2/14/2020,
2/14/2021,48701
2/14/2022,9962
2/14/2023,4810
2/15/2020,
2/15/2021,30355
2/15/2022,12961
2/15/2023,7072
2/16/2020,
2/16/2021,27005
2/16/2022,19839
2/16/2023,6748
2/17/2020,
2/17/2021,33977
2/17/2022,18462
2/17/2023,6668
2/18/2020,
2/18/2021,56165
2/18/2022,17758
2/18/2023,6148
2/19/2020,
2/19/2021,65372
2/19/2022,14174
2/19/2023,4871
2/2/2021,28552
2/2/2022,27720
2/2/2023,6690
2/20/2020,
2/20/2021,57194
2/20/2022,16752
2/20/2023,3552
2/21/2020,
2/21/2021,48178
2/21/2022,8924
2/21/2023,3630
2/22/2020,
2/22/2021,31163
2/22/2022,15365
2/22/2023,5370
2/23/2020,
2/23/2021,25979
2/23/2022,15692
2/23/2023,7465
2/24/2020,
2/24/2021,54852
2/24/2022,21449
2/24/2023,6951
2/25/2020,
2/25/2021,66351
2/25/2022,21550
2/25/2023,5574
2/26/2020,
2/26/2021,64049
